                                                                                                  Exhibit J-2
                                                                            Popeyes Franchised Restaurants as of December 31, 2025


10727   Brodersen Enterprises of Puerto Rico, Inc.   Av. JosÃ© EfrÃ³n, Dorado                                                        Dorado             PR                 (414) 375-4075
15360   Latin American Chicken, LLC.                 Eastern Plaza, Pr #3 Int. Pr #194 , Km 43.4                                     Fajardo            PR              asolares@rhc-pr.com
14770   Latin American Chicken, LLC.                 Km 92.9 PR #2                                                                   Guayama            PR                 (787) 200-7691
 5673   A.A.F.E.S.                                   Fort Buchanan                                                                   Guaynabo           PR                 (787) 792-9064
12159   Brodersen Enterprises of Puerto Rico, Inc.   Barrio Carrizales PR-2 Km 84.2                                                  Hatillo            PR                 (787) 563-2901
15236   Latin American Chicken, LLC.                 Hatillo                                                                         Hatillo            PR              asolares@rhc-pr.com
15268   Latin American Chicken, LLC.                 PR-584 and PR 1149                                                              Juana Diaz         PR              asolares@rhc-pr.com
15361   Latin American Chicken, LLC.                 Carretera 183                                                                   Las Piedras        PR              asolares@rhc-pr.com
10724   Brodersen Enterprises of Puerto Rico, Inc.   Av. Eugenio MarÃ-a de Hostos                                                    Mayaguez           PR                 (787) 921-2010
12225   Brodersen Enterprises of Puerto Rico, Inc.   Carretera #2 Km 153.1 University Plaza                                          Mayaguez           PR                 (939) 910-7901
14699   Latin American Chicken, LLC.                 Km 3.2 Street PR #31                                                            Naguabo            PR              asolares@rhc-pr.com
10825   Brodersen Enterprises of Puerto Rico, Inc.   Calle CÃ¡ndido Hoyos                                                            Ponce              PR                 (414) 375-4075
15235   Latin American Chicken, LLC.                 1001 Ave Pedro Albizu Campos                                                    Salinas            PR              asolares@rhc-pr.com
12427   Brodersen Enterprises of Puerto Rico, Inc.   Ave Ponce de LeÃ³n Carr. 25                                                     San Juan           PR                 (787) 705-2252
12888   Brodersen Enterprises of Puerto Rico, Inc.   Av. Franklin Delano Roosevelt 352                                               San Juan           PR                 (787) 998-0631
13074   Brodersen Enterprises of Puerto Rico, Inc.   Av. Franklin Delano Roosevelt 525                                               San Juan           PR                 (414) 375-4075
15910   Latin American Chicken, LLC.                 Centro Medico                                                                   San Juan           PR              asolares@rhc-pr.com
10824   Brodersen Enterprises of Puerto Rico, Inc.   Centro Comercial Plaza Prados del Sur PR-52                                     Santa Isabel       PR                 (939) 309-2000
12586   Brodersen Enterprises of Puerto Rico, Inc.   Av. Los Dominicos                                                               Toa Baja           PR                 (787) 296-9876
11596   Brodersen Enterprises of Puerto Rico, Inc.   Boulevard Las Cuevas Carretera 181                                              Trujillo Alto      PR                 (787) 418-2401
14112   E PROVIDENCE CHICKEN LLC                     40 - Newport Ave                                                                EAST PROVIDENCE    RI 02916-2068       401-274-6393
11714   Dinga Operating, LLC                         1427 Hartford Avenue                                                            JOHNSTON           RI    2919         (401) 861-0401
13862   N PROVIDENCE CHICKEN, LLC.                   1382 Mineral Spring Avenue                                                      N PROVIDENCE       RI    2904         (401) 424-5184
 8604   RI Reservoir Chicken LLC                     77 Reservoir Ave                                                                PROVIDENCE         RI    2907         (401) 461-5180
11085   RI Smith Chicken LLC                         539 Smith St                                                                    PROVIDENCE         RI    2908         (401) 274-6393
13744   WARWICK CHICKEN LLC                          1000 Bald Hill Road                                                             WARWICK            RI    2886         (401) 337-9372
11800   TA Operating LLC                             849 Victory Hwy                                                                 WEST GREENWICH     RI    2817         (401) 397-7774
12425   1507 Chicken Corp.                           1507 Diamond Hill Road                                                          WOONSOCKET         RI    2895         (401) 356-0996
 4420   SBH FOODS PLK, LLC                           954 York St NE                                                                  AIKEN              SC   29801         (803) 648-5382
13303   PSP-PLC 9 LLC                                3811 Clemson Blvd                                                               ANDERSON           SC   29621         (864) 349-5457
12116   PSP-PLC 5 LLC                                3895 Boiling Springs Road                                                       BOILING SPRINGS    SC   29316         (864) 345-2633
13510   PSP-PLC 17 LLC                               445 Sumter Highway                                                              CAMDEN             SC   29020         (803) 272-0080
11257   A.A.F.E.S.                                   (Military Post Access Required) 5650 Lee Rd                                     COLUMBIA           SC   29206         (803) 782-6443
14354   POP of Columbiana, Inc.                      100 Columbiana Circle                                                           COLUMBIA           SC   29212         (803) 866-1597
11819   PSP-PLC 1 LLC                                10002 Two Notch Road                                                            COLUMBIA           SC   29223         (803) 788-9226
10139   S&F Investments, Inc.                        7540 Garners Ferry Rd                                                           COLUMBIA           SC   29209         (803) 776-9633
11765   S&F Investments, Inc.                        468 Killian Road                                                                COLUMBIA           SC   29203         (803) 714-7111
15178   CAROLINA CHICKEN CONWAY 501 LLC              2885 US 501                                                                     CONWAY             SC   29526         (843) 234-0110
15410   CAROLINA CHICKEN CONWAY 501 LLC              1930 US Hwy 544                                                                 CONWAY             SC   29526         (843) 347-1351
11735   Shreeji Spice Dillon LLC                     710 Radford Blvd                                                                DILLON             SC   29536         (843) 506-8331
13237   PSP-PLC 8 LLC                                5138 Calhoun Memorial Highway                                                   EASLEY             SC   29640         (864) 671-6250
10136   LVP FOOD SERVICE CONCEPTS, LLC               2301 W Lucas St                                                                 FLORENCE           SC   29501         (843) 292-0386
13490   PSP-PLC 11 LLC                               2115 W Evans St                                                                 FLORENCE           SC   29501         (843) 407-5657
12091   PSP-PLC 4 LLC                                1637 West Floyd Baker Blvd                                                      GAFFNEY            SC   29341         (864) 649-5486
12950   SBH FOODS PLK, LLC                           135 St James Ave                                                                GOOSE CREEK        SC   29445         (843) 277-2576
14752   PSP-PLC 27 LLC                               516 - Haywood Rd                                                                GREENVILLE         SC 29607-2711      (864) 568-3993
13286   PSP-PLC 10 LLC                               1213 SC-72                                                                      GREENWOOD          SC   29649         (864) 791-5148
13063   PSP-PLC 7 LLC                                1109 West Wade Hampton                                                          GREER              SC   29601         (864) 655-4121
12408   S&F Investments, Inc.                        1160 Dutch Fork Road                                                            IRMO               SC   29063         (803) 851-5900
13305   Leblon Franchising Holdings, LLC             426 Lancaster Bypass E                                                          LANCASTER          SC   29720         (803) 285-4575
10375   S&F Investments, Inc.                        1860 S Lake Dr                                                                  LEXINGTON          SC   29073         (803) 808-0527
 8217   TA Operating LLC                             3014 Paxville Hwy                                                               MANNING            SC   29102         (803) 473-2568
13511   PSP-PLC 13 LLC                               200 S Main St                                                                   MAULDIN            SC   29662         (864) 289-7529
14566   CAROLINA CHICKEN 2123 US 501 LLC             2123 - US-501                                                                   MYRTLE BEACH       SC 29577-9761      (854) 588-6390
14019   PSP-PLC 19 LLC                               1248 Wilson Rd                                                                  NEWBERRY           SC   29108         (839) 206-3611
 5655   SBH FOODS PLK, LLC                           5988 Rivers Ave                                                                 NORTH CHARLESTON   SC   29406         (843) 747-0175

