                                                                                                                             Under
                                                                                                                             ADA?
            Franchisee                           Address                      City       State    Zip Code       Phone       Y/N)
       DSG Kankakee, LLC                  1280 N Kennedy Dr                Kankakee       IL       60901      815-614-3937    No
     BDP Lake Zurich IL, LLC                  935 S Rand Rd              Lake Zurich      IL     60047-2547   312-264-4459    Yes
       Rhino Torrance, LLC               17675 S Torrence Ave               Lansing       IL       60438      708-418-5777    No
      Lemont IL Fitness LLC                 13406 Archer Ave                Lemont        IL     60439-4755   331-261-1010    Yes
     Lincolnwood Fitness LLC           6850 N McCormick Blvd             Lincolnwood      IL       60712      847-329-1010    Yes
        BDP Lockport LLC                       1025 E 9th St               Lockport       IL       60441      815-524-4055    No
     BDP Loves Park IL, LLC                   6333 N 2nd St               Loves Park      IL     61111-4168   815-633-7202    Yes
        Marion Fitness LLC            3000 W Deyoung, Unit 500              Marion        IL       62959      618-733-3388    No
       Mattoon Fitness LLC               301 Richmond Ave E               E. Mattoon      IL       61938      217-235-3535    No
  Pizzazz Fitness McHenry, LLC             3204 Shopper's Dr               McHenry        IL       60051      779-216-1890    No
     Melrose Park Fitness LLC            1961 N Mannheim Rd              Melrose Park     IL       60160      708-344-6400    Yes
Baseline Fitness East Moline, LLC              4401 16th St                 Moline        IL       61265      309-764-9500    Yes
    BDP Montgomery IL, LLC                  1842 Douglas Rd              Montgomery       IL       60538      630-896-5500    No
    Morton Grove Fitness LLC                7300 Dempster St            Morton Grove      IL       60053      847-983-4022    Yes
    PFMW Mount Vernon LLC             120 Times Square Mall #2          Mount Vernon      IL       62864      618-204-5251    Yes
      Mt. Prospect IL Fit LLC               151 E Euclid Ave            Mount Prospect    IL     60056-1289   847-999-0428    Yes
     BDP Mundelein IL, LLC                 1122 W Maple Ave               Mundelein       IL       60060      847-949-0051    Yes
       BDP Naperville, LLC                 1163 E Ogden Ave               Naperville      IL       60563      630-416-7200    No
     BDP New Lenox IL, LLC                   700 W Maple St               New Lenox       IL       60451      312-896-0357    No
      Oak Lawn Fitness LLC                 9503 S Cicero Ave              Oak Lawn        IL       60453      708-529-3237    Yes
       Palatine Fitness LLC              223 E Northwest Hwy                Palatine      IL       60067      847-718-8700    Yes
          BDP Pekin, LLC                      3247 Court St                  Pekin        IL       61554      309-201-3580    Yes
        BDP Peoria 2, LLC                 4125 N Sheridan Rd                 Peoria       IL       61614      309-688-0188    Yes
        BDP Peoria 3, LLC              5201 W War Memorial Dr                Peoria       IL       61615      309-406-7881    Yes
       FG Fitness Peru LLC                     1608 36th St                   Peru        IL       61354      815-250-0053    No
       BDP Plainfield, LLC               13335 Illinois Rte 59             Plainfield     IL       60585      815-600-9018    No
        PMW Quincy LLC                     3007 Broadway St                 Quincy        IL     62301-3707   217-209-0244    Yes
      BDP Rockford IL, LLC                  2420 S Alpine Rd               Rockford       IL     61108-7811   815-708-6707    Yes
   BDP Rockford State St, LLC                7143 E State St               Rockford       IL     61108-2694   815-315-4756    Yes
    Schaumburg II Fitness LLC              160 Barrington Rd             Schaumburg       IL       60194      847-718-8800    Yes
      Woodfield Fitness LLC                 590 East Golf Rd             Schaumburg       IL       60173      847-718-8880    Yes
 BDP Springfield North IL, LLC          1879 E Sangamon Ave               Springfield     IL       62702      217-408-4878    Yes
     BDP Springfield IL, LLC                1756 Wabash Ave               Springfield     IL     62704-5302   217-546-4910    Yes
       BDP St. Charles LLC                 2065 Lincoln Hwy               St. Charles     IL       60174      630-945-3498    No
  Baseline Fitness Sterling, LLC     2900 E Lincolnway, Unit 21A            Sterling      IL       61081      815-625-4253    No
      Tinley Park Fitness LLC             16189 S Harlem Ave              Tinley Park     IL       60477      708-633-1010    Yes
         BDP Urbana LLC                      1809 S Philo Rd                Urbana        IL       61802      217-344-6510    Yes
    BDP Vernon Hills IL, LLC            413 N Milwaukee Ave              Vernon Hills     IL     60061-1572   708-572-4420    Yes
       EFG Villa Park, LLC                201 W Roosevelt Rd               Villa Park     IL       60181      630-233-4867    Yes
     BDP Waukegan IL, LLC                  2223 N Lewis Ave               Waukegan        IL       60087      847-249-9800    Yes
     EFG West Chicago, LLC               1851 N Neltnor Blvd            West Chicago      IL       60185      630-473-0220    Yes
BDP West Dundee Chicago, LLC                   390 N 8th St              West Dundee      IL       60118      815-529-6294    No
